id,name,address,addressInfo,zipcode,description,email,phone,website,hours,logo,language,date_needed,services_offered,restrictions,next_steps,nonprofit_ID
daae85f1-bcc7-4201-9f67-a04bae6ec216,Center for Urban Families,"2201 N Monroe St, Baltimore, MD 21217","{""name"":""places/ChIJ03ZgDTYbyIkRkUYEnS3EtSM"",""location"":{""latitude"":39.3134054,""longitude"":-76.64780689999999},""displayName"":{""text"":""2201 N Monroe St""},""postalAddress"":{""locality"":""Baltimore"",""postalCode"":""21217-1321"",""regionCode"":""US"",""addressLines"":[""2201 N Monroe St""],""languageCode"":""en"",""administrativeArea"":""MD""},""formattedAddress"":""2201 N Monroe St, Baltimore, MD 21217, USA"",""shortFormattedAddress"":""2201 N Monroe St, Baltimore""}",21217,The Center for Urban Families is a community center that provides employment programs and support for men with child support payments and returning citizens.,info@cfuf.org,+1 410-367-5691,https://www.cfuf.org/,"[{""end"":""1899-12-31T12:00:00.000Z"",""start"":""1899-12-31T08:00:00.000Z""},{""end"":""1899-12-31T12:00:00.000Z"",""start"":""1899-12-31T08:00:00.000Z""},{""end"":""1899-12-31T12:00:00.000Z"",""start"":""1899-12-31T08:00:00.000Z""},{""end"":""1899-12-31T12:00:00.000Z"",""start"":""1899-12-31T08:00:00.000Z""},{""end"":""1899-12-31T12:00:00.000Z"",""start"":""1899-12-31T08:00:00.000Z""},{""end"":""1899-12-31T00:00:00.000Z"",""start"":""1899-12-31T00:00:00.000Z""},{""end"":""1899-12-31T00:00:00.000Z"",""start"":""1899-12-31T00:00:00.000Z""}]",https://www.cfuf.org/wp-content/themes/cfuf/assets/images/logo.png,"[""english"",""spanish""]",7-31-2023,"[""family_support"",""legal_assistance"",""mentorship"",""family_support"",""food_assistance"",""refugee_&_immigrant_resettlement""]",Primarily serves men and returning citizens,Visit website or call to learn more.,05a617ec-3e5e-43b8-b78b-3f0858e6a931
7ecb07ef-0413-45e6-a59a-ec3e0537a0c2,United Way of Central Maryland,"1800 Washington Blvd #340, Baltimore, MD 21230, US","{""name"":""places/ChIJbdYpgLMcyIkREvTUvtLJ6AE"",""location"":{""latitude"":39.2762062,""longitude"":-76.6441595},""displayName"":{""text"":""1800 Washington Blvd #340""},""postalAddress"":{""locality"":""Baltimore"",""postalCode"":""21230"",""regionCode"":""US"",""addressLines"":[""1800 Washington Blvd""],""languageCode"":""en"",""administrativeArea"":""MD""},""formattedAddress"":""1800 Washington Blvd #340, Baltimore, MD 21230, USA"",""shortFormattedAddress"":""Montgomery Park, 1800 Washington Blvd, Baltimore""}",21230,"The United Way of Central Maryland works to improve lives by focusing on education, financial stability, and health in Central Maryland.",info@uwcm.org,+1 410-547-8000,http://www.uwcm.org/,"[{""end"":""1899-12-31T00:00:00.000Z"",""start"":""1899-12-31T00:00:00.000Z""},{""end"":""1899-12-31T18:00:00.000Z"",""start"":""1899-12-31T10:00:00.000Z""},{""end"":""1899-12-31T18:00:00.000Z"",""start"":""1899-12-31T10:00:00.000Z""},{""end"":""1899-12-31T18:00:00.000Z"",""start"":""1899-12-31T10:00:00.000Z""},{""end"":""1899-12-31T18:00:00.000Z"",""start"":""1899-12-31T10:00:00.000Z""},{""end"":""1899-12-31T18:00:00.000Z"",""start"":""1899-12-31T10:00:00.000Z""},{""end"":""1899-12-31T00:00:00.000Z"",""start"":""1899-12-31T00:00:00.000Z""}]",https://www.uwcm.org/wp-content/themes/uwcm/images/logo.png,"[""arabic"",""farci"",""spanish"",""english"",""pashto""]",1-12-2023,"[""legal_assistance"",""immigrant_services"",""mentorship""]",Vary by program,Visit website or call for information on programs and services.,05a617ec-3e5e-43b8-b78b-3f0858e6a931
0853f972-9c07-4e57-9de7-be3ece900c76,Ronald McDonald House Charities Maryland,"1 Aisquith St, Baltimore, MD 21202, US","{""name"":""places/ChIJnawQAIQEyIkR1SY_f5-o-uA"",""location"":{""latitude"":39.2914929,""longitude"":-76.60088},""displayName"":{""text"":""1 Aisquith St""},""postalAddress"":{""locality"":""Baltimore"",""postalCode"":""21202"",""regionCode"":""US"",""addressLines"":[""1 Aisquith St""],""languageCode"":""en"",""administrativeArea"":""MD""},""formattedAddress"":""1 Aisquith St, Baltimore, MD 21202, USA"",""shortFormattedAddress"":""1 Aisquith St, Baltimore""}",21202,Ronald McDonald House Charities Maryland provides a 'home away from home' for families with seriously ill children receiving treatment at nearby hospitals.,info@rmhcmaryland.org,+1 410-528-1010,http://www.rmhcmaryland.org/,"[{""end"":""1899-12-31T23:59:59.999Z"",""start"":""1899-12-31T00:00:00.000Z""},{""end"":""1899-12-31T23:59:59.999Z"",""start"":""1899-12-31T00:00:00.000Z""},{""end"":""1899-12-31T23:59:59.999Z"",""start"":""1899-12-31T00:00:00.000Z""},{""end"":""1899-12-31T23:59:59.999Z"",""start"":""1899-12-31T00:00:00.000Z""},{""end"":""1899-12-31T23:59:59.999Z"",""start"":""1899-12-31T00:00:00.000Z""},{""end"":""1899-12-31T23:59:59.999Z"",""start"":""1899-12-31T00:00:00.000Z""},{""end"":""1899-12-31T23:59:59.999Z"",""start"":""1899-12-31T00:00:00.000Z""}]",https://www.rmhcmaryland.org/wp-content/uploads/2016/09/RMHC-Maryland-Logo.png,"[""arabic"",""spanish"",""pashto""]",1-3-2022,"[""financial_assistance"",""job_training"",""food_assistance"",""immigrant_services""]",Requires referral from a hospital,Visit website or call for information on eligibility and availability.,05a617ec-3e5e-43b8-b78b-3f0858e6a931
c717c577-5614-40a9-a093-ba513879d281,Legal Aid DC,"1331 H St NW Suite 350, Washington, DC 20005, US","{""name"":""places/ChIJvYha1ZW3t4kR_n5KQetI7ww"",""location"":{""latitude"":38.9005608,""longitude"":-77.030587},""displayName"":{""text"":""1331 H St NW Suite 350""},""postalAddress"":{""locality"":""Washington"",""postalCode"":""20005-4748"",""regionCode"":""US"",""addressLines"":[""1331 H St NW""],""languageCode"":""en"",""administrativeArea"":""DC""},""formattedAddress"":""1331 H St NW Suite 350, Washington, DC 20005, USA"",""shortFormattedAddress"":""1331 H St NW, Washington""}",20005,"Legal Aid DC provides free legal advice and representation to low-income residents of Washington, D.C., covering areas like eviction, domestic violence, and immigration issues.",,+1 202-628-1161,http://www.legalaiddc.org/,"[{""end"":""1899-12-31T00:00:00.000Z"",""start"":""1899-12-31T00:00:00.000Z""},{""end"":""1899-12-31T00:00:00.000Z"",""start"":""1899-12-31T00:00:00.000Z""},{""end"":""1899-12-31T00:00:00.000Z"",""start"":""1899-12-31T00:00:00.000Z""},{""end"":""1899-12-31T00:00:00.000Z"",""start"":""1899-12-31T00:00:00.000Z""},{""end"":""1899-12-31T00:00:00.000Z"",""start"":""1899-12-31T00:00:00.000Z""},{""end"":""1899-12-31T00:00:00.000Z"",""start"":""1899-12-31T00:00:00.000Z""},{""end"":""1899-12-31T00:00:00.000Z"",""start"":""1899-12-31T00:00:00.000Z""}]",,"[""arabic"",""farci"",""spanish"",""english"",""pashto""]",5-6-2024,"[""Legal Assistance""]",,Visit their website for more information on how to apply for legal assistance.,81b420a5-9390-4ad4-8639-8ca96110827a
6c109a16-6efc-4ab9-86d8-b6a5fdab753b,Ayuda,"1990 K Street Northwest Suite 500, Washington, DC 20006, US","{""name"":""places/EiwxOTkwIEsgU3QgTlcgIzUwMCwgV2FzaGluZ3RvbiwgREMgMjAwMDYsIFVTQSIfGh0KFgoUChIJhW_GA7q3t4kRRqPG-4MR5U8SAzUwMA"",""location"":{""latitude"":38.9022953,""longitude"":-77.04448579999999},""displayName"":{""text"":""1990 K St NW #500""},""postalAddress"":{""locality"":""Washington"",""postalCode"":""20006"",""regionCode"":""US"",""addressLines"":[""1990 K St NW #500""],""languageCode"":""en"",""administrativeArea"":""DC""},""formattedAddress"":""1990 K St NW #500, Washington, DC 20006, USA"",""shortFormattedAddress"":""1990 K St NW #500, Washington""}",20006,"Ayuda offers free and low-cost immigration legal services, domestic violence and family law assistance, case management, and mental health services for low-income immigrants in the DC area.",,+1 202-387-4848,http://www.ayuda.com/,"[{""end"":""1899-12-31T00:00:00.000Z"",""start"":""1899-12-31T00:00:00.000Z""},{""end"":""1899-12-31T00:00:00.000Z"",""start"":""1899-12-31T00:00:00.000Z""},{""end"":""1899-12-31T00:00:00.000Z"",""start"":""1899-12-31T00:00:00.000Z""},{""end"":""1899-12-31T00:00:00.000Z"",""start"":""1899-12-31T00:00:00.000Z""},{""end"":""1899-12-31T00:00:00.000Z"",""start"":""1899-12-31T00:00:00.000Z""},{""end"":""1899-12-31T00:00:00.000Z"",""start"":""1899-12-31T00:00:00.000Z""},{""end"":""1899-12-31T00:00:00.000Z"",""start"":""1899-12-31T00:00:00.000Z""}]",,"[""arabic"",""farci"",""spanish"",""english"",""pashto""]",9-9-2023,"[""Legal Assistance"",""Mental health education"",""Family support"",""Immigrant services""]",,Contact them to learn more about their services or to schedule an appointment.,81b420a5-9390-4ad4-8639-8ca96110827a
82c23374-979b-4c42-b633-37fbb3688ceb,The Salvation Army USA (DC Region),"2626 Pennsylvania Ave NW, Washington, DC 20037, US","{""name"":""places/ChIJuQFdu7S3t4kRzCFh3rJYvG4"",""location"":{""latitude"":38.9040021,""longitude"":-77.0554076},""displayName"":{""text"":""2626 Pennsylvania Ave NW""},""postalAddress"":{""locality"":""Washington"",""postalCode"":""20037-1618"",""regionCode"":""US"",""addressLines"":[""2626 Pennsylvania Ave NW""],""languageCode"":""en"",""administrativeArea"":""DC""},""formattedAddress"":""2626 Pennsylvania Ave NW, Washington, DC 20037, USA"",""shortFormattedAddress"":""2626 Pennsylvania Ave NW, Washington""}",20037,"The Salvation Army provides a range of social services, including food and financial assistance to help individuals and families meet basic needs and achieve stability.",,+1 202-756-2600,https://www.salvationarmyusa.org/,"[{""end"":""1899-12-31T17:00:00.000Z"",""start"":""1899-12-31T08:30:00.000Z""},{""end"":""1899-12-31T17:00:00.000Z"",""start"":""1899-12-31T08:30:00.000Z""},{""end"":""1899-12-31T17:00:00.000Z"",""start"":""1899-12-31T08:30:00.000Z""},{""end"":""1899-12-31T17:00:00.000Z"",""start"":""1899-12-31T08:30:00.000Z""},{""end"":""1899-12-31T17:00:00.000Z"",""start"":""1899-12-31T08:30:00.000Z""},{""end"":""1899-12-31T00:00:00.000Z"",""start"":""1899-12-31T00:00:00.000Z""},{""end"":""1899-12-31T00:00:00.000Z"",""start"":""1899-12-31T00:00:00.000Z""}]",,"[""farci"",""english"",""pashto""]",8-30-2023,"[""Food Assistance"",""Financial Assistance""]",,Contact The Salvation Army in the DC area to learn more about available programs and how to apply for assistance.,81b420a5-9390-4ad4-8639-8ca96110827a
f2d406d5-eaac-4ace-9aae-7739c4c67113,Bread for the City,"1640 Good Hope Rd SE, Washington, DC 20020, US",,20020,"Bread for the City is dedicated to providing food, clothing, medical care, and legal and social services to reduce the burden of poverty in Washington, DC.",,+1 202-561-8587,http://www.breadforthecity.org/,"[{""end"":""1899-12-31T16:00:00.000Z"",""start"":""1899-12-31T08:00:00.000Z""},{""end"":""1899-12-31T16:00:00.000Z"",""start"":""1899-12-31T08:00:00.000Z""},{""end"":""1899-12-31T16:00:00.000Z"",""start"":""1899-12-31T08:00:00.000Z""},{""end"":""1899-12-31T16:00:00.000Z"",""start"":""1899-12-31T08:00:00.000Z""},{""end"":""1899-12-31T16:00:00.000Z"",""start"":""1899-12-31T08:00:00.000Z""},{""end"":""1899-12-31T00:00:00.000Z"",""start"":""1899-12-31T00:00:00.000Z""},{""end"":""1899-12-31T00:00:00.000Z"",""start"":""1899-12-31T00:00:00.000Z""}]",,"[""arabic"",""farci"",""spanish"",""english""]",5-22-2023,"[""Food Assistance"",""Legal Assistance"",""Medical Care""]",,Visit their website or contact them directly for program details and eligibility requirements.,81b420a5-9390-4ad4-8639-8ca96110827a
695f98cd-be07-45f7-b6c1-c2879d260a8d,Washington Legal Clinic for the Homeless,"1200 U St NW, Washington, DC 20009, US","{""name"":""places/ChIJC9o4Eua3t4kR5TFTb-yOZGw"",""location"":{""latitude"":38.9167496,""longitude"":-77.0283713},""displayName"":{""text"":""1200 U St NW""},""postalAddress"":{""locality"":""Washington"",""postalCode"":""20009-4443"",""regionCode"":""US"",""addressLines"":[""1200 U St NW""],""languageCode"":""en"",""administrativeArea"":""DC""},""formattedAddress"":""1200 U St NW, Washington, DC 20009, USA"",""shortFormattedAddress"":""1200 U St NW, Washington""}",20009,The Washington Legal Clinic for the Homeless provides free legal services to D.C. residents experiencing homelessness and housing instability.,,+1 202-328-5500,http://www.legalclinic.org/,"[{""end"":""1899-12-31T17:30:00.000Z"",""start"":""1899-12-31T07:30:00.000Z""},{""end"":""1899-12-31T17:30:00.000Z"",""start"":""1899-12-31T07:30:00.000Z""},{""end"":""1899-12-31T17:30:00.000Z"",""start"":""1899-12-31T07:30:00.000Z""},{""end"":""1899-12-31T17:30:00.000Z"",""start"":""1899-12-31T07:30:00.000Z""},{""end"":""1899-12-31T17:30:00.000Z"",""start"":""1899-12-31T07:30:00.000Z""},{""end"":""1899-12-31T17:30:00.000Z"",""start"":""1899-12-31T07:30:00.000Z""},{""end"":""1899-12-31T17:30:00.000Z"",""start"":""1899-12-31T07:30:00.000Z""}]",,"[""arabic"",""farci"",""english""]",1-20-2023,"[""Legal Assistance""]",,Contact them for information on legal aid and support for housing issues.,81b420a5-9390-4ad4-8639-8ca96110827a
1c2d785e-5192-4564-805c-57f560866fad,HIAS (Hebrew Immigrant Aid Society),"1300 Spring St Suite 500, Silver Spring, MD 20910, US","{""name"":""places/ChIJUc5h7bfIt4kR5l7komYYxu4"",""location"":{""latitude"":38.998867,""longitude"":-77.0320816},""displayName"":{""text"":""1300 Spring St Suite 500""},""postalAddress"":{""locality"":""Silver Spring"",""postalCode"":""20910"",""regionCode"":""US"",""addressLines"":[""1300 Spring St""],""languageCode"":""en"",""administrativeArea"":""MD""},""formattedAddress"":""1300 Spring St Suite 500, Silver Spring, MD 20910, USA"",""shortFormattedAddress"":""1300 Spring St, Silver Spring""}",20910,"HIAS is a Jewish American non-profit that provides humanitarian aid and assistance to refugees, including resettlement services, integration programs, and advocacy.",,+1 301-844-7300,https://www.hias.org/,"[{""end"":""1899-12-31T22:00:00.000Z"",""start"":""1899-12-31T07:30:00.000Z""},{""end"":""1899-12-31T22:00:00.000Z"",""start"":""1899-12-31T07:30:00.000Z""},{""end"":""1899-12-31T22:00:00.000Z"",""start"":""1899-12-31T07:30:00.000Z""},{""end"":""1899-12-31T22:00:00.000Z"",""start"":""1899-12-31T07:30:00.000Z""},{""end"":""1899-12-31T22:00:00.000Z"",""start"":""1899-12-31T07:30:00.000Z""},{""end"":""1899-12-31T22:00:00.000Z"",""start"":""1899-12-31T07:30:00.000Z""},{""end"":""1899-12-31T22:00:00.000Z"",""start"":""1899-12-31T07:30:00.000Z""}]",,"[""arabic"",""farci"",""spanish"",""english"",""pashto""]",5-12-2023,"[""Refugee & Immigrant Resettlement"",""Immigrant services""]",,Visit their website or contact them for information on refugee and immigrant services.,81b420a5-9390-4ad4-8639-8ca96110827a
abd62e22-8ca0-4efd-a29c-29a6c48a2af0,International Rescue Committee (IRC) - Washington DC,"740 15th St NW Suite 700, Washington, DC 20005, US","{""name"":""places/ChIJ4ZhD8r23t4kRK9VRdbtU05Q"",""location"":{""latitude"":38.8998453,""longitude"":-77.0340301},""displayName"":{""text"":""740 15th St NW STE 700""},""postalAddress"":{""locality"":""Washington"",""postalCode"":""20005-1036"",""regionCode"":""US"",""addressLines"":[""740 15th St NW""],""languageCode"":""en"",""administrativeArea"":""DC""},""formattedAddress"":""740 15th St NW STE 700, Washington, DC 20005, USA"",""shortFormattedAddress"":""740 15th St NW, Washington""}",20005,"The International Rescue Committee helps people affected by conflict and disaster, providing emergency relief and helping communities rebuild, including refugee resettlement and support.",,+1 202-822-0070,https://www.rescue.org/united-states/washington-dc-md-va,"[{""end"":""1899-12-31T17:00:00.000Z"",""start"":""1899-12-31T09:00:00.000Z""},{""end"":""1899-12-31T17:00:00.000Z"",""start"":""1899-12-31T09:00:00.000Z""},{""end"":""1899-12-31T17:00:00.000Z"",""start"":""1899-12-31T09:00:00.000Z""},{""end"":""1899-12-31T17:00:00.000Z"",""start"":""1899-12-31T09:00:00.000Z""},{""end"":""1899-12-31T17:00:00.000Z"",""start"":""1899-12-31T09:00:00.000Z""},{""end"":""1899-12-31T00:00:00.000Z"",""start"":""1899-12-31T00:00:00.000Z""},{""end"":""1899-12-31T00:00:00.000Z"",""start"":""1899-12-31T00:00:00.000Z""}]",,"[""arabic"",""farci"",""english"",""pashto""]",3-13-2023,"[""Refugee & Immigrant Resettlement"",""Immigrant services""]",,Visit their website or contact them for information on their refugee and immigrant services in the DC area.,81b420a5-9390-4ad4-8639-8ca96110827a
